Day,Date,Daily Rainfall Total (mm),Highest30-min Rainfall (mm),Highest60-min Rainfall (mm),Highest120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,month
,15 March 2022,20.8,10.4,16.6,20.4,25.9,32,23.2,3.4,20.9,2022,March
,16 March 2022,1.4,1.4,1.4,1.4,27.6,33,23.5,3.3,18,2022,March
,17 March 2022,9.4,7,8.4,8.4,27,33,24.4,2.8,22,2022,March
,18 March 2022,0.4,0.2,0.2,0.2,27.3,32.9,25,4.1,20.9,2022,March
,19 March 2022,0,0,0,0,27.9,33.9,25.1,3.7,18.3,2022,March
,20 March 2022,0,0,0,0,28.3,33.9,25.9,3.4,18.3,2022,March
,21 March 2022,10.2,5.8,9,10.2,27.5,33.3,21.8,3.1,35.9,2022,March
,22 March 2022,1.4,0.8,1.2,1.4,27.7,31.9,26.2,3,16.9,2022,March
,23 March 2022,0,0,0,0,27.5,32.9,25.4,3.2,28.5,2022,March
,24 March 2022,2.2,1.2,1.6,2.2,27.1,33.5,23.4,3.6,18.3,2022,March
,25 March 2022,0,0,0,0,27.6,33.4,24.8,3.4,31.7,2022,March
,26 March 2022,20.4,16,20,20.4,27.3,33.3,24,3.8,17.6,2022,March
,27 March 2022,0,0,0,0,27.3,33.6,23.1,3.3,18,2022,March
,28 March 2022,3,3,3,3,26.9,34,23.9,3.2,28.9,2022,March
,29 March 2022,0,0,0,0,27.3,33,24,3.9,32.8,2022,March
,30 March 2022,1,0.8,0.8,1,27.8,33.3,24.7,2.8,17.2,2022,March
,31 March 2022,3.6,3.6,3.6,3.6,27,33.4,23.9,3,31.3,2022,March
,01 April 2022,-,-,-,-,-,-,-,-,-,2022,April
,02 April 2022,0,0,0,0,27.3,33.9,24.5,3.2,19.1,2022,April
,03 April 2022,0,0,0,0,26.5,30.8,24.6,2.9,19.1,2022,April
,04 April 2022,0,0,0,0,27.3,33.3,23,3.6,19.8,2022,April
,05 April 2022,0,0,0,0,27.1,30.9,24.9,4.2,23.3,2022,April
,06 April 2022,15.2,7.2,7.4,7.4,26.8,33.7,23.5,3.2,26.3,2022,April
,07 April 2022,1.4,0.6,0.8,1,25.8,27.8,24.1,2.8,20.6,2022,April
,08 April 2022,4.4,4.4,4.4,4.4,27,33.5,24.1,4.1,32.4,2022,April
,09 April 2022,2.2,1.6,1.8,2.2,26.2,30.7,23.1,3.2,25.9,2022,April
,10 April 2022,15.2,8,13.8,15.2,26.2,32.2,24.4,2.9,18,2022,April
,11 April 2022,0.8,0.4,0.6,0.8,26.2,31.4,24,2.5,25.2,2022,April
,12 April 2022,0,0,0,0,27.5,33.3,23.9,2.8,13.7,2022,April
,13 April 2022,0.6,0.4,0.4,0.6,27.4,32.1,24.9,2.3,17.6,2022,April
,14 April 2022,2.8,2,2.2,2.8,28.2,33.3,23.2,3.6,33.5,2022,April
,15 April 2022,15.8,10.4,11,14.4,27.4,31.8,24.1,3.4,27.4,2022,April
,16 April 2022,4.4,3.6,4.4,4.4,28.3,33.5,23.6,3.3,24.1,2022,April
,17 April 2022,54.6,24,39.6,42.8,27.8,33.7,25,3.1,19.1,2022,April
,18 April 2022,3.4,0.8,1,1.4,27.2,32.6,24,3.8,25.2,2022,April
,19 April 2022,26.6,18.8,24.8,26.2,26.9,32.5,23.8,2.5,23,2022,April
,20 April 2022,0.2,0.2,0.2,0.2,27.8,32.7,25,3.2,17.6,2022,April
,21 April 2022,23.8,20.2,22.6,22.8,25.8,29.2,23.8,2.2,24.8,2022,April
,22 April 2022,0,0,0,0,28.2,32.9,24.7,4.7,23,2022,April
,23 April 2022,0.4,0.4,0.4,0.4,28.5,33.7,25.6,3.3,24.4,2022,April
,24 April 2022,0.6,0.6,0.6,0.6,28.1,32.6,25.6,2.6,18.7,2022,April
