Date,Daily Rainfall Total (mm),Highest  30-min Rainfall (mm),Highest  60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,month
2 Jan,0,—,—,—,27.3,30.8,25,6.3,26.6,2012,January
3 Jan,0,—,—,—,27.2,30.2,25.1,7.1,27.7,2012,January
4 Jan,0,—,—,—,27,31.2,24.3,6.5,25.6,2012,January
5 Jan,0,—,—,—,27,30.5,24.2,7.4,28.8,2012,January
6 Jan,0,—,—,—,27.2,31.3,24.3,7.7,29.9,2012,January
7 Jan,2.6,—,—,—,27,31.1,24.7,7.9,30.2,2012,January
8 Jan,29.2,—,—,—,25,27.2,24.2,5.7,27.7,2012,January
9 Jan,1.8,—,—,—,25.6,28.2,24,5.4,28.1,2012,January
10 Jan,3.4,—,—,—,25.3,27.5,24.2,5.6,23,2012,January
11 Jan,4.2,—,—,—,26.1,28,24.3,6.2,29.5,2012,January
12 Jan,0,—,—,—,26,29.2,24,5.9,30.2,2012,January
13 Jan,0,—,—,—,26.5,30.4,23.5,5.9,29.2,2012,January
14 Jan,11.2,—,—,—,27,32,24.1,3.3,13.3,2012,January
15 Jan,0,—,—,—,27.5,33.5,23,4.1,30.6,2012,January
16 Jan,2.8,—,—,—,27.7,32,25.4,3.5,18.7,2012,January
17 Jan,5,—,—,—,27.5,31.8,25.7,3.3,18.4,2012,January
18 Jan,1.8,—,—,—,26.8,30.2,24.7,3.3,15.8,2012,January
19 Jan,1,—,—,—,27.2,32.2,24.9,3.3,19.8,2012,January
20 Jan,1.4,—,—,—,25.5,31.2,22.9,3.5,39.6,2012,January
21 Jan,1.2,—,—,—,26.2,31.9,23.3,3.4,21.6,2012,January
22 Jan,4.8,—,—,—,26.6,32.1,24,3.5,21.6,2012,January
23 Jan,6,—,—,—,25.6,31.8,23.6,4.1,28.1,2012,January
24 Jan,0,—,—,—,26.1,29.4,23.4,5.7,25.9,2012,January
25 Jan,0,—,—,—,27.3,31.5,24.4,7,28.1,2012,January
26 Jan,0,—,—,—,27,29.9,25,6.8,29.2,2012,January
27 Jan,0.4,—,—,—,26.9,31.4,24.3,5.8,26.6,2012,January
28 Jan,0,—,—,—,26.2,28.7,24.1,5.2,20.9,2012,January
29 Jan,4.4,—,—,—,26.7,32.1,23.8,3.9,20.2,2012,January
30 Jan,0.4,—,—,—,27.1,32,24.4,5,19.1,2012,January
31 Jan,0.6,—,—,—,26.5,30.8,22.6,5.6,25.9,2012,January
2 Feb,28.4,—,—,—,25.6,31,23.1,4.8,33.5,2012,February
3 Feb,17.4,—,—,—,24.6,27.7,23.5,3.5,65.5,2012,February
4 Feb,0,—,—,—,26.2,29.1,23.4,5.8,27.4,2012,February
5 Feb,0,—,—,—,27.4,31.1,24.5,6.3,23.4,2012,February
6 Feb,0,—,—,—,27.1,31.3,24.2,6,24.8,2012,February
7 Feb,0,—,—,—,26.9,31.9,23.9,5.1,30.2,2012,February
8 Feb,0,—,—,—,26.9,32.2,23.5,5.2,21.6,2012,February
9 Feb,0,—,—,—,26.4,30.9,22.4,5.8,25.6,2012,February
10 Feb,0,—,—,—,26.9,31.2,23.2,6,25.6,2012,February
11 Feb,0,—,—,—,27.6,32.1,24.9,6.6,30.2,2012,February
12 Feb,0,—,—,—,27.9,31.6,25.3,7.6,28.8,2012,February
13 Feb,3.4,—,—,—,26.9,30.8,24.7,6,25.2,2012,February
14 Feb,0,—,—,—,27.3,31.7,24.5,5.5,23.8,2012,February
15 Feb,37,—,—,—,26,31.6,23.6,4,27.4,2012,February
16 Feb,42,—,—,—,26.1,33.7,24.1,3.6,29.9,2012,February
17 Feb,7.2,—,—,—,26,32,23,5.4,36,2012,February
18 Feb,34,—,—,—,25,29.9,23,2.5,30.2,2012,February
19 Feb,0,—,—,—,25.7,29.5,22.6,3.5,33.1,2012,February
20 Feb,6,—,—,—,26.5,30.8,25,3.7,20.5,2012,February
21 Feb,0,—,—,—,26.8,30.1,25,3.1,19.1,2012,February
22 Feb,0,—,—,—,27.3,31.5,24.2,4.4,22.3,2012,February
23 Feb,0,—,—,—,27.9,32.9,24.8,4.2,18,2012,February
24 Feb,0,—,—,—,27.7,32.4,24.9,4.3,23,2012,February
25 Feb,0,—,—,—,27.8,32.8,24.8,3.8,18.4,2012,February
26 Feb,0,—,—,—,27.7,32.2,25.1,3.8,20.9,2012,February
27 Feb,4,—,—,—,27.3,31.4,25.3,2.9,15.1,2012,February
28 Feb,0.2,—,—,—,27.9,32.5,24.4,5.1,21.2,2012,February
29 Feb,0,—,—,—,27.9,32.6,24.9,5,24.1,2012,February
2 Mar,5.8,—,—,—,25.7,29.2,24.1,3.6,94.7,2012,March
3 Mar,0.4,—,—,—,27.2,32.3,24.5,4,24.5,2012,March
4 Mar,0.2,—,—,—,27.8,31.9,25.3,3.3,17.3,2012,March
5 Mar,63.6,—,—,—,25.2,29,21.5,2.5,42.8,2012,March
6 Mar,0,—,—,—,27.2,32,24.5,2.8,16.2,2012,March
7 Mar,6.2,—,—,—,27.4,32,25.6,2.8,16.2,2012,March
8 Mar,7,—,—,—,27.2,31.4,24.1,4.3,27.4,2012,March
9 Mar,0.2,—,—,—,26.5,29.7,23.6,3.1,38.9,2012,March
10 Mar,0,—,—,—,27.2,30.8,24.3,3.6,20.2,2012,March
11 Mar,12.4,—,—,—,26.7,31,24.3,4.9,32,2012,March
12 Mar,0,—,—,—,25.7,27.3,24.5,8,99,2012,March
13 Mar,87.4,—,—,—,27,30.1,24.5,5.5,28.8,2012,March
14 Mar,8,—,—,—,24.7,26.7,23.7,4.1,34.6,2012,March
15 Mar,0,—,—,—,26.4,30.5,24,4.4,22,2012,March
16 Mar,0,—,—,—,28,32.5,25,5.4,26.6,2012,March
17 Mar,0,—,—,—,27.6,32.5,24.6,4.4,18,2012,March
18 Mar,19,—,—,—,26.7,32.7,24.1,3.6,22.3,2012,March
19 Mar,1.8,—,—,—,26.8,30.2,25,2.6,13,2012,March
20 Mar,0,—,—,—,27.5,31.1,24.9,2.8,14.8,2012,March
21 Mar,3.6,—,—,—,27,31.4,24.2,2.7,21.2,2012,March
22 Mar,0.2,—,—,—,27.2,32.6,24.9,2.5,19.1,2012,March
23 Mar,5.6,—,—,—,27.3,33.5,24.7,3.4,20.5,2012,March
24 Mar,22.6,—,—,—,27.2,32.9,24.6,3.3,28.8,2012,March
25 Mar,0.8,—,—,—,26.9,32.3,24.3,4.1,34.6,2012,March
26 Mar,1.4,—,—,—,26.7,31,24.3,2.7,22,2012,March
27 Mar,0,—,—,—,27.4,33.1,24.7,3.5,36,2012,March
28 Mar,0,—,—,—,27,31.9,24.7,2.9,30.2,2012,March
29 Mar,26.8,—,—,—,26.4,32.4,23.9,3.3,23,2012,March
30 Mar,35.8,—,—,—,25.7,32.4,23.2,3,33.1,2012,March
31 Mar,6,—,—,—,25.8,30.2,23.1,6.2,32.4,2012,March
2 Apr,2.6,—,—,—,26.1,31.6,22.2,3.4,50.4,2012,April
3 Apr,37.8,—,—,—,27,31.2,24.3,2.9,23,2012,April
4 Apr,2.8,—,—,—,27.1,33,22.7,4.4,38.2,2012,April
5 Apr,4,—,—,—,26.8,33.3,23.8,3,15.8,2012,April
6 Apr,8.4,—,—,—,26.7,29.4,23.5,2.9,22.7,2012,April
7 Apr,0,—,—,—,26.9,32,23.9,3.3,24.8,2012,April
8 Apr,0,—,—,—,27,31.7,24.6,2.8,20.2,2012,April
9 Apr,1.8,—,—,—,26.7,32,24.3,3.3,16.6,2012,April
10 Apr,30,—,—,—,26.1,33.1,23,2.9,22.7,2012,April
11 Apr,2.2,—,—,—,26.2,31.5,24.1,2.7,21.2,2012,April
12 Apr,0,—,—,—,27.6,31.7,25.2,3,21.2,2012,April
13 Apr,0,—,—,—,28.6,33.7,25.1,3.4,17.3,2012,April
14 Apr,3.2,—,—,—,27.1,31.6,24.9,2.9,19.1,2012,April
15 Apr,0,—,—,—,27.4,32.1,23.9,3.4,21.2,2012,April
16 Apr,0,—,—,—,27.5,33.6,25.2,3.3,20.9,2012,April
17 Apr,0.2,—,—,—,27.1,31.8,24.4,3.4,21.6,2012,April
18 Apr,0,—,—,—,28.2,33.6,25.5,3.3,20.9,2012,April
19 Apr,16.8,—,—,—,26.2,31.2,24.1,2.9,19.4,2012,April
20 Apr,1,—,—,—,28.6,34.3,24.8,3.2,20.5,2012,April
21 Apr,23,—,—,—,26.3,29.1,24.2,4.5,38.9,2012,April
22 Apr,22.6,—,—,—,27.3,33,23.4,3.4,40.3,2012,April
23 Apr,12.8,—,—,—,27.5,33.9,23.6,3.3,22,2012,April
24 Apr,6.8,—,—,—,26.3,31.1,24.8,3,22.3,2012,April
25 Apr,0,—,—,—,27.9,34,25.3,3,18.4,2012,April
26 Apr,0.2,—,—,—,28.2,33.1,25,3.6,87.8,2012,April
27 Apr,0,—,—,—,29.1,34.7,24.8,3.9,31,2012,April
28 Apr,9.8,—,—,—,28.5,34,23.3,2.8,31,2012,April
29 Apr,0.2,—,—,—,28.3,33.3,26.3,2.7,26.6,2012,April
30 Apr,11,—,—,—,27.3,34.1,24.1,3.2,21.6,2012,April
2 May,32.4,—,—,—,26.7,30.5,24.1,3.5,20.9,2012,May
3 May,0,—,—,—,28.4,32.8,25.2,3.7,19.8,2012,May
4 May,86.4,—,—,—,27.6,32.4,23.9,2.5,25.6,2012,May
5 May,0,—,—,—,26.4,31.1,22.2,3.2,46.4,2012,May
6 May,53.4,—,—,—,26,33.2,22.8,2.9,46.1,2012,May
7 May,3.4,—,—,—,25.5,29,22.9,3.4,43.6,2012,May
8 May,2,—,—,—,28.7,34.6,24.7,3.5,24.5,2012,May
9 May,2.6,—,—,—,27,34.4,23.2,3.3,26.3,2012,May
10 May,8.8,—,—,—,27.6,33.9,24.4,3.6,19.8,2012,May
11 May,13,—,—,—,27,32.7,24.8,2.8,27.7,2012,May
12 May,16.6,—,—,—,28.9,34,25.6,4.2,21.6,2012,May
13 May,0,—,—,—,27,31.3,22.9,5.1,45.7,2012,May
14 May,0,—,—,—,29.3,34,25.7,4.4,27,2012,May
15 May,3.8,—,—,—,27.9,32,26,2.4,22.3,2012,May
16 May,32,—,—,—,28.2,33.7,23.2,3.3,33.1,2012,May
17 May,1.2,—,—,—,26.5,29.8,23.2,3.3,47.2,2012,May
18 May,0,—,—,—,28.5,33.3,25.6,3.1,16.9,2012,May
19 May,0,—,—,—,29.1,34.3,25.9,3.4,25.9,2012,May
20 May,8,—,—,—,28.2,32.6,24.3,3.4,24.1,2012,May
21 May,12.6,—,—,—,28.1,33.6,24.9,3.3,32.4,2012,May
22 May,3.2,—,—,—,28.8,33.6,25.1,3.1,18.7,2012,May
23 May,0.2,—,—,—,27.4,32.2,23.6,4.3,30.2,2012,May
24 May,0.2,—,—,—,28.8,33.4,25.7,3.4,21.6,2012,May
25 May,0,—,—,—,28.4,31.7,25.4,3.8,20.2,2012,May
26 May,16,—,—,—,28.1,33.6,25.5,3.4,25.2,2012,May
27 May,0,—,—,—,26.7,31.1,23,3.9,44.3,2012,May
28 May,0,—,—,—,28.6,32.8,25.3,3.4,16.9,2012,May
29 May,19.6,—,—,—,27.8,32.1,25.3,3.3,22.7,2012,May
30 May,1.4,—,—,—,28.2,33.3,25.5,3.1,17.6,2012,May
31 May,32.4,—,—,—,27.2,33,24.4,3,34.2,2012,May
2 Jun,0,—,—,—,28,32.5,25.7,2.6,16.9,2012,June
3 Jun,0,—,—,—,27.7,31,24.7,3.4,17.6,2012,June
4 Jun,0,—,—,—,28.4,33.3,26.6,2.2,15.1,2012,June
5 Jun,2.6,—,—,—,28.4,33.3,25.7,2.6,16.9,2012,June
6 Jun,0.2,—,—,—,28.2,32.5,24.5,5.2,34.2,2012,June
7 Jun,0,—,—,—,29.2,33.9,26,3,32.8,2012,June
8 Jun,26.5,—,—,—,27.5,31.2,25.7,2.5,24.8,2012,June
9 Jun,2,—,—,—,26,29.4,23.3,3.3,32.8,2012,June
10 Jun,0,—,—,—,28.4,33.7,24.3,3.4,24.5,2012,June
11 Jun,0,—,—,—,27.8,32.7,25.5,2.8,25.2,2012,June
12 Jun,0,—,—,—,29,32.8,26.3,4.1,21.2,2012,June
13 Jun,0,—,—,—,28.9,33.8,25.9,3.7,17.6,2012,June
14 Jun,0,—,—,—,29.5,34.9,26,3.8,20.2,2012,June
15 Jun,0,—,—,—,29.4,34.2,25.9,3.9,19.1,2012,June
16 Jun,0,—,—,—,29.4,33.7,25.7,4.1,22.3,2012,June
17 Jun,0,—,—,—,29.4,33.4,27,5.1,24.1,2012,June
18 Jun,0,—,—,—,29,34.2,25.4,3.8,22.7,2012,June
19 Jun,4,—,—,—,27.6,32.5,25.2,2.9,20.2,2012,June
20 Jun,0.5,—,—,—,28.5,33.2,25.8,2.9,29.9,2012,June
21 Jun,0.5,—,—,—,27.3,32.3,24.9,3.1,23.8,2012,June
22 Jun,0,—,—,—,28.3,33.2,24.7,3.8,22.7,2012,June
23 Jun,0,—,—,—,29.1,33.3,25.7,3.7,20.2,2012,June
24 Jun,0,—,—,—,28.6,32.4,26,3.3,22.3,2012,June
25 Jun,0,—,—,—,28.7,33.8,25.9,3.3,24.5,2012,June
26 Jun,0,—,—,—,28.2,33.7,25.5,3.5,20.9,2012,June
27 Jun,2,—,—,—,27,31,25.3,2.8,21.6,2012,June
28 Jun,5.5,—,—,—,27.4,32.2,24.5,3.1,18.7,2012,June
29 Jun,0,—,—,—,27.9,33.2,25.2,3.2,22.3,2012,June
30 Jun,1,—,—,—,27.3,31.4,25.7,2.9,30.6,2012,June
2 Jul,0,—,—,—,27.4,32.1,24.2,3.5,23.8,2012,July
3 Jul,3.6,—,—,—,26.5,30.7,24,3.1,34.9,2012,July
4 Jul,42,—,—,—,27,31,23.7,3.4,42.1,2012,July
5 Jul,9,—,—,—,26,29.6,23.4,3.2,30.6,2012,July
6 Jul,0,—,—,—,27.8,32.3,25,3.5,26.3,2012,July
7 Jul,2.2,—,—,—,26.7,31.4,24.6,3.2,22,2012,July
8 Jul,3.2,—,—,—,27.5,32.5,23.5,4.4,32,2012,July
9 Jul,0,—,—,—,27.6,32.5,25.7,3.2,19.8,2012,July
10 Jul,2.4,—,—,—,26.6,32.3,25,3,23.4,2012,July
11 Jul,0.6,—,—,—,26.5,32.2,24.9,2.6,18,2012,July
12 Jul,1.2,—,—,—,27.8,32.1,25.1,4.2,22.7,2012,July
13 Jul,0.6,—,—,—,28.2,31.9,24.9,4,30.2,2012,July
14 Jul,41,—,—,—,25.7,27.7,24,3,27,2012,July
15 Jul,0,—,—,—,27.1,31.6,24.6,3.2,24.1,2012,July
16 Jul,50.2,—,—,—,26.1,31,24.4,2.8,26.6,2012,July
17 Jul,0.6,—,—,—,26.5,32,24.3,3.1,20.5,2012,July
18 Jul,0,—,—,—,27.1,31.3,24.9,3,19.1,2012,July
19 Jul,27.8,—,—,—,25.9,31.4,23.9,2.4,24.1,2012,July
20 Jul,11.2,—,—,—,27.4,32.2,24.7,3.4,21.2,2012,July
21 Jul,0,—,—,—,28.1,33,25.2,3.4,20.2,2012,July
22 Jul,0,—,—,—,28.8,33.4,25.9,4,25.2,2012,July
23 Jul,0,—,—,—,28.4,32.7,25.4,4.7,28.4,2012,July
24 Jul,0,—,—,—,28.1,33,24.2,3.9,23.4,2012,July
25 Jul,0,—,—,—,28.2,33,24.5,4,24.1,2012,July
26 Jul,0,—,—,—,29.1,33,26.5,5.2,25.2,2012,July
27 Jul,0,—,—,—,28.6,33.4,25.9,4.5,23,2012,July
28 Jul,6.6,—,—,—,27.6,31.9,23.8,4,34.2,2012,July
29 Jul,0,—,—,—,28.1,32.5,24.5,4.1,21.2,2012,July
30 Jul,0,—,—,—,28.4,32.8,25.6,4.2,24.5,2012,July
31 Jul,0,—,—,—,28.4,33,25.2,4.3,26.6,2012,July
2 Aug,0,—,—,—,28,31.8,25,3.9,23.4,2012,August
3 Aug,6.2,—,—,—,28,31.7,25.2,4.4,22.7,2012,August
4 Aug,2.6,—,—,—,26.7,31.3,24.4,2.9,19.4,2012,August
5 Aug,3.6,—,—,—,27.6,32.4,25.5,3.4,26.3,2012,August
6 Aug,0,—,—,—,27.6,31.7,25.2,3.4,31.7,2012,August
7 Aug,0,—,—,—,28,33,24.3,3.8,25.2,2012,August
8 Aug,0,—,—,—,28.1,32.6,25.1,4,23.8,2012,August
9 Aug,0,—,—,—,28.2,32.6,24.6,4.7,26.6,2012,August
10 Aug,0,—,—,—,28.6,33.8,24.6,4.9,23.4,2012,August
11 Aug,0,—,—,—,28.9,33.4,25.8,4.2,20.2,2012,August
12 Aug,0,—,—,—,28.2,33,25.4,4.3,25.2,2012,August
13 Aug,0,—,—,—,28.7,32.8,25.5,4.2,23.8,2012,August
14 Aug,0,—,—,—,29,33.2,25.6,4.6,22.3,2012,August
15 Aug,4,—,—,—,28.4,31.8,25.8,4.8,25.9,2012,August
16 Aug,7.2,—,—,—,27.8,31.2,25.2,4.4,28.8,2012,August
17 Aug,3.8,—,—,—,26.5,30.5,24,2.5,28.4,2012,August
18 Aug,3.8,—,—,—,26.9,30.8,24.4,3.3,21.2,2012,August
19 Aug,0,—,—,—,27.8,32.6,24.4,3.7,23.8,2012,August
20 Aug,0,—,—,—,28.7,33.4,25.9,4.4,23.8,2012,August
21 Aug,33.4,—,—,—,27.6,32.8,24.8,3.9,31.7,2012,August
22 Aug,0,—,—,—,27.4,31.9,24.5,3.3,27.7,2012,August
23 Aug,1.4,—,—,—,27,30.4,23.6,4.2,38.9,2012,August
24 Aug,0,—,—,—,28.4,33.2,24.8,4.1,20.5,2012,August
25 Aug,0.6,—,—,—,27.9,31.2,26,3.6,22.3,2012,August
26 Aug,0,—,—,—,28,31.7,25.6,3.3,23,2012,August
27 Aug,15.8,—,—,—,26.2,31.5,23.2,3.5,32.8,2012,August
28 Aug,5,—,—,—,26,31.3,24.1,3.4,20.9,2012,August
29 Aug,0,—,—,—,27.2,29.9,25,3.1,24.1,2012,August
30 Aug,10.6,—,—,—,26.2,29.7,24.4,2.9,27.7,2012,August
31 Aug,0.6,—,—,—,26.6,31.1,24,3.2,27,2012,August
2 Sep,0,—,—,—,28.7,32.5,26.1,4.6,50,2012,September
3 Sep,0,—,—,—,28.6,32.5,26.1,4.6,22,2012,September
4 Sep,11.4,—,—,—,28.6,33.1,24.3,4.8,46.8,2012,September
5 Sep,0.2,—,—,—,25.6,31,23.4,3.8,29.9,2012,September
6 Sep,5.6,—,—,—,26.7,30.8,24.3,3.2,27.4,2012,September
7 Sep,14,—,—,—,26.4,31.3,23.4,3.1,24.8,2012,September
8 Sep,0,—,—,—,27.3,30.3,24.2,2.6,28.1,2012,September
9 Sep,6,—,—,—,26.6,32.1,23.9,2.8,56.9,2012,September
10 Sep,0,—,—,—,26.4,29.8,23.8,3.5,29.5,2012,September
11 Sep,0,—,—,—,27.6,32,25.1,3.4,27,2012,September
12 Sep,0,—,—,—,28.4,33.7,25.4,3.4,26.6,2012,September
13 Sep,0,—,—,—,27.9,32.4,24.7,3.8,31,2012,September
14 Sep,0,—,—,—,27.8,31.1,25.3,2.6,18,2012,September
15 Sep,3.4,—,—,—,27.6,31.9,24.8,3.3,19.8,2012,September
16 Sep,0,—,—,—,28.4,33.1,25.5,3.1,18.7,2012,September
17 Sep,0,—,—,—,27.7,33,24.5,3.2,19.8,2012,September
18 Sep,0,—,—,—,28.2,33.6,24.7,2.8,15.8,2012,September
19 Sep,0,—,—,—,28.7,33.5,26.2,3,25.6,2012,September
20 Sep,0,—,—,—,28.4,33.5,25.7,2.9,18,2012,September
21 Sep,0,—,—,—,27.5,32.6,24.5,3.5,18.4,2012,September
22 Sep,0,—,—,—,27.8,33.9,24.3,3.7,20.5,2012,September
23 Sep,0,—,—,—,28.3,34,25.2,3.2,23.4,2012,September
24 Sep,0.2,—,—,—,27.6,33.7,24.8,3.2,21.6,2012,September
25 Sep,9.8,—,—,—,27.9,33.7,25.3,3.2,19.8,2012,September
26 Sep,0.2,—,—,—,26.6,30.3,23.6,3.8,28.4,2012,September
27 Sep,33.6,—,—,—,28.1,34.6,23.1,3.8,42.5,2012,September
28 Sep,0,—,—,—,28,34,23.4,3.3,21.2,2012,September
29 Sep,17,—,—,—,27.2,31.6,23.2,2.7,32.8,2012,September
30 Sep,5.4,—,—,—,26.7,32.2,23,3.1,27,2012,September
2 Oct,0,—,—,—,28,33.4,24.7,3,23,2012,October
3 Oct,11.2,—,—,—,28.7,35,25.5,3.1,19.4,2012,October
4 Oct,0,—,—,—,28.5,32.9,24.8,3.5,23.4,2012,October
5 Oct,0.2,—,—,—,27.5,32,25.3,3.5,22.7,2012,October
6 Oct,3,—,—,—,27.2,32.8,24.2,3.1,19.1,2012,October
7 Oct,0,—,—,—,27.1,30.9,24.9,3.5,37.1,2012,October
8 Oct,0,—,—,—,28.6,33.9,24.8,3.2,18,2012,October
9 Oct,0,—,—,—,27.5,32.9,25.1,3,17.3,2012,October
10 Oct,7,—,—,—,27.4,32.6,24.8,3.4,19.4,2012,October
11 Oct,0,—,—,—,27.4,31.8,25,2.5,14,2012,October
12 Oct,0,—,—,—,27.9,32.5,25,3.3,16.6,2012,October
13 Oct,16.4,—,—,—,26.1,31.3,23.8,3,22.7,2012,October
14 Oct,0.8,—,—,—,27.2,32.3,24.1,3.2,21.2,2012,October
15 Oct,0,—,—,—,28.1,34.5,25.4,3.6,21.6,2012,October
16 Oct,3.6,—,—,—,26.7,32,24.2,3.1,25.6,2012,October
17 Oct,0.8,—,—,—,27,32.2,25.2,2.8,25.6,2012,October
18 Oct,6.8,—,—,—,26.3,30.8,24.6,2.7,19.4,2012,October
19 Oct,1,—,—,—,26.6,31.4,24.7,3.1,20.9,2012,October
20 Oct,0.8,—,—,—,27,32.8,24.3,3.7,24.5,2012,October
21 Oct,6.2,—,—,—,26,29.4,24.4,2.3,17.6,2012,October
22 Oct,0,—,—,—,27,33,24.8,3.7,18.7,2012,October
23 Oct,0,—,—,—,28,33.2,24.3,3.1,13,2012,October
24 Oct,0,—,—,—,28.6,34.2,25.1,3.5,16.9,2012,October
25 Oct,0,—,—,—,28.6,33.3,25.4,3.8,18.7,2012,October
26 Oct,0,—,—,—,28.8,33.1,25.5,5.5,26.3,2012,October
27 Oct,0,—,—,—,28.3,33.4,24.8,3.5,18,2012,October
28 Oct,0,—,—,—,28.3,33.5,24.6,4.2,20.5,2012,October
29 Oct,0,—,—,—,27.9,33.4,24.7,3.5,26.3,2012,October
30 Oct,7,—,—,—,26.6,31.7,24.9,3,27.4,2012,October
31 Oct,13,—,—,—,26.6,30.5,24.6,3.4,25.6,2012,October
2 Nov,4.6,—,—,—,26.8,33.3,24.1,3.3,28.4,2012,November
3 Nov,7.6,—,—,—,25.8,29.6,24.1,3.9,21.2,2012,November
4 Nov,4,—,—,—,26.2,32.2,24.2,3.9,23.4,2012,November
5 Nov,0.2,—,—,—,26.6,30.9,24,4.1,23.8,2012,November
6 Nov,0.8,—,—,—,26.4,31.6,24.6,3,20.9,2012,November
7 Nov,0,—,—,—,27.7,32.1,24.8,3.7,20.9,2012,November
8 Nov,0.6,—,—,—,27.1,32,24.7,3.1,18.4,2012,November
9 Nov,7.2,—,—,—,26.7,32.4,24.6,2.5,19.4,2012,November
10 Nov,0.6,—,—,—,26.6,31.3,24.8,2.5,18,2012,November
11 Nov,0.4,—,—,—,27.2,31.8,25.5,3.2,19.1,2012,November
12 Nov,34.2,—,—,—,26.3,30.6,24.1,3,15.8,2012,November
13 Nov,2.8,—,—,—,26.3,31.1,24.8,3.5,25.2,2012,November
14 Nov,2,—,—,—,26.5,32,24.7,2.6,21.2,2012,November
15 Nov,7.2,—,—,—,27.3,30.9,25.3,2.3,19.1,2012,November
16 Nov,1.6,—,—,—,27.6,33,25,3.5,22.3,2012,November
17 Nov,0,—,—,—,27.4,33.2,24.2,4.2,32.4,2012,November
18 Nov,4.2,—,—,—,26.9,34.3,24.5,3,20.5,2012,November
19 Nov,0.2,—,—,—,27,29.9,24.9,3.2,20.5,2012,November
20 Nov,0,—,—,—,28,33.5,24.5,3.2,18.4,2012,November
21 Nov,29,—,—,—,27,32.3,25.2,3.2,18.7,2012,November
22 Nov,0.4,—,—,—,26.4,29.4,25,2.7,28.8,2012,November
23 Nov,5,—,—,—,26.8,32.6,24,3.3,46.4,2012,November
24 Nov,0,—,—,—,27.5,32.4,23.9,5.4,24.5,2012,November
25 Nov,5.2,—,—,—,26.3,31.3,24.6,2.9,23.8,2012,November
26 Nov,0,—,—,—,27.3,32.8,25.3,3.1,19.8,2012,November
27 Nov,29,—,—,—,26.3,32.4,24,3,25.2,2012,November
28 Nov,0,—,—,—,27.8,33.5,24.7,3.4,18.7,2012,November
29 Nov,2.4,—,—,—,26.9,31.6,24.6,3.3,18,2012,November
30 Nov,0,—,—,—,27.7,32.6,25,2.7,16.6,2012,November
2 Dec,9,—,—,—,26.8,31.4,24.3,2.5,13.3,2012,December
3 Dec,20.8,—,—,—,25.8,30.2,24,3.4,24.1,2012,December
4 Dec,0,—,—,—,26.3,31.4,23.3,3.6,21.6,2012,December
5 Dec,17.6,—,—,—,26.3,31.9,24,2.9,25.2,2012,December
6 Dec,1.2,—,—,—,26.9,32.3,24.7,3.6,26.6,2012,December
7 Dec,0,—,—,—,27.9,32.4,24.8,4.8,24.5,2012,December
8 Dec,0.6,—,—,—,27.3,30.9,24.7,3.6,19.8,2012,December
9 Dec,0,—,—,—,26.9,30.2,25.2,3.2,19.8,2012,December
10 Dec,13.8,—,—,—,26.1,31.8,24,3.2,55.8,2012,December
11 Dec,52,—,—,—,26,29.7,23,2.7,28.4,2012,December
12 Dec,21,—,—,—,25.9,31.8,23.9,4.1,29.9,2012,December
13 Dec,23.2,—,—,—,25.6,31.1,23.6,3.7,27.4,2012,December
14 Dec,3.8,—,—,—,26.8,31.4,24.3,2.8,21.2,2012,December
15 Dec,3.2,—,—,—,27.1,30.4,25.3,3.5,23.8,2012,December
16 Dec,4.2,—,—,—,26.1,32.3,24.5,2.9,21.6,2012,December
17 Dec,2.6,—,—,—,26.2,30.3,24.2,3.1,18.7,2012,December
18 Dec,30.6,—,—,—,25.4,29.2,24,2.6,22,2012,December
19 Dec,9.6,—,—,—,26.1,30.9,24.4,3.3,28.4,2012,December
20 Dec,0,—,—,—,27.1,31.2,23.8,4,20.5,2012,December
21 Dec,0,—,—,—,27.6,31.9,25,3.3,21.2,2012,December
22 Dec,69,—,—,—,26.3,32.6,23.7,3,24.5,2012,December
23 Dec,0,—,—,—,26.8,31.2,24.1,4.3,25.6,2012,December
24 Dec,2,—,—,—,26.7,29.8,24.5,4.4,20.9,2012,December
25 Dec,0.6,—,—,—,25.2,27.3,24.2,3.7,21.6,2012,December
26 Dec,0,—,—,—,26.2,30.6,23.9,4.3,20.2,2012,December
27 Dec,0,—,—,—,26.3,28.8,24.5,4.2,20.5,2012,December
28 Dec,4.4,—,—,—,26.8,31.1,24.5,4.6,24.1,2012,December
29 Dec,4.2,—,—,—,27.2,30.6,25.2,3.6,23.4,2012,December
30 Dec,11.8,—,—,—,26.8,31.1,25,3.2,24.5,2012,December
31 Dec,69.2,—,—,—,25.4,29.3,22.6,3.5,29.5,2012,December
2 Jan,2,—,—,—,26.9,31.3,23.4,3.8,28.4,2013,January
3 Jan,4.4,—,—,—,26.6,32,24.4,3.5,32,2013,January
4 Jan,0.6,—,—,—,27.1,31.1,24.9,5.3,20.9,2013,January
5 Jan,0,—,—,—,27.2,31.3,24.6,5,22.7,2013,January
6 Jan,0,—,—,—,27.4,34,24.2,3.9,24.8,2013,January
7 Jan,0.8,—,—,—,28.6,35,24.9,4.3,27.7,2013,January
