date,daily rainfall total (mm),highest30-min rainfall (mm),highest60-min rainfall (mm),highest120-min rainfall (mm),mean temperature (°c),maximum temperature (°c),minimum temperature (°c),mean wind speed (km/h),max wind speed (km/h),year,month_x,year ,month_num,month_y,day,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
13 October 2022,0,0,0,0,28,33.2,24.6,3.9,20.6,2022,October,2022,10,November,13,2.8,3.0,3.0,2.6,2.1,1.5,1.2,1.0,1.0,1.2,1.8,2.5,3.0,3.1,2.9,2.5,1.9,1.3,0.8,0.6,0.5,0.7,1.1,1.8
14 October 2022,0,0,0,0,27.6,32,24.5,4.9,24.1,2022,October,2022,10,November,14,2.4,2.8,2.9,2.7,2.3,1.8,1.4,1.2,1.1,1.2,1.6,2.2,2.8,3.1,3.0,2.7,2.2,1.6,1.1,0.7,0.6,0.6,0.9,1.4
15 October 2022,3.4,3.4,3.4,3.4,27.8,33.1,25.3,4.8,26.7,2022,October,2022,10,November,15,2.0,2.4,2.6,2.6,2.4,2.0,1.6,1.4,1.3,1.3,1.5,2.0,2.6,3.0,3.0,2.8,2.4,1.9,1.4,1,0.7,0.7,0.8,1.1
16 October 2022,16,4.6,9,12.6,26.3,31.2,23.3,3.4,29.8,2022,October,2022,10,November,16,1.6,2.0,2.3,2.4,2.4,2.1,1.8,1.5,1.4,1.4,1.6,1.9,2.3,2.7,2.9,2.8,2.6,2.2,1.7,1.3,1.0,0.9,0.9,1.0
17 October 2022,10.4,7.4,8.8,10.2,27.2,32.7,23.5,3.3,29.8,2022,October,2022,10,November,17,1.3,1.7,1.9,2.1,2.2,2.1,1.9,1.7,1.6,1.5,1.6,1.8,2.1,2.5,2.7,2.7,2.6,2.4,2.0,1.6,1.4,1.2,1.1,1.1
18 October 2022,0,0,0,0,27.8,32.7,24.5,2.8,14.1,2022,October,2022,10,November,18,1.2,1.4,1.6,1.8,1.9,1.9,1.9,1.8,1.7,1.7,1.7,1.8,2.0,2.2,2.4,2.5,2.5,2.4,2.2,2,1.7,1.6,1.4,1.3
19 October 2022,18.8,16.4,16.8,18.4,27.3,31.8,24.1,2.3,19.8,2022,October,2022,10,November,19,1.2,1.2,1.3,1.5,1.6,1.7,1.8,1.9,1.9,1.9,1.9,1.8,1.9,2.0,2.1,2.2,2.3,2.3,2.3,2.2,2.1,1.9,1.8,1.6
20 October 2022,0,0,0,0,28.8,34.1,25.6,3.3,21.3,2022,October,2022,10,November,20,1.3,1.2,1.2,1.2,1.3,1.5,1.7,1.9,2.0,2.1,2.1,2.0,1.9,1.8,1.9,1.9,2.0,2.1,2.2,2.3,2.3,2.3,2.2,1.9
21 October 2022,23.4,10.2,10.2,10.4,25.7,29.5,23.1,2,16.1,2022,October,2022,10,November,21,1.6,1.3,1.1,1.0,1.1,1.2,1.5,1.9,2.1,2.3,2.3,2.2,2.0,1.8,1.7,1.6,1.6,1.8,2.0,2.2,2.5,2.6,2.5,2.3
22 October 2022,4,1.6,2.4,2.4,26.1,32.4,24,3.5,15.6,2022,October,2022,10,November,22,1.9,1.5,1.2,1.0,0.9,1.0,1.3,1.7,2.2,2.5,2.6,2.5,2.2,1.8,1.6,1.4,1.3,1.4,1.6,2,2.4,2.7,2.7,2.6
23 October 2022,0.4,0.2,0.4,0.4,26.6,30.3,23.9,3.9,16.5,2022,October,2022,10,November,23,2.3,1.8,1.4,1.1,0.9,0.9,1.1,1.6,2.1,2.6,2.8,2.7,2.5,2.0,1.6,1.3,1.1,1.1,1.3,1.6,2.2,2.6,2.9,2.9
24 October 2022,2,0.6,0.8,1.4,26.8,29.7,25.1,3.8,17.6,2022,October,2022,10,November,24,2.6,2.1,1.6,1.2,0.9,0.8,1.0,1.3,1.9,2.6,2.9,2.9,2.7,2.3,1.7,1.3,1.0,0.8,0.9,1.3,1.8,2.4,2.9,3.0
25 October 2022,26.8,14.2,23.4,25,26.5,31.6,23.4,3.8,22.4,2022,October,2022,10,November,25,2.9,2.5,1.9,1.4,1.1,0.9,0.9,1.2,1.7,2.4,3.0,3.1,3.0,2.6,2.0,1.4,0.9,0.7,0.7,0.9,1.3,2.0,2.7,3.0
26 October 2022,0.2,0.2,0.2,0.2,26.1,29.2,24.1,3.8,24.1,2022,October,2022,10,November,26,3.0,2.8,2.3,1.7,1.3,1.0,0.9,1.1,1.4,2.1,2.9,3.2,3.2,2.9,2.3,1.7,1.1,0.7,0.5,0.6,0.9,1.5,2.2,2.8
27 October 2022,0.6,0.4,0.6,0.6,27.5,32.9,24.2,6,27.4,2022,October,2022,10,November,27,3.0,3.0,2.7,2.1,1.6,1.2,1.0,1.1,1.3,1.8,2.5,3.2,3.3,3.1,2.7,2.0,1.3,0.8,0.5,0.4,0.6,1.0,1.7,2.4
28 October 2022,6.5,5.8,5.8,5.8,-,-,-,-,-,2022,October,2022,10,November,28,2.9,3.0,2.9,2.5,1.9,1.5,1.2,1.1,1.2,1.6,2.2,2.9,3.3,3.3,3.0,2.4,1.7,1.1,0.6,0.4,0.4,0.7,1.2,1.8
29 October 2022,0,0,0,0,-,-,-,-,-,2022,October,2022,10,November,29,2.5,2.8,2.8,2.7,2.3,1.8,1.5,1.3,1.3,1.5,1.9,2.5,3.1,3.3,3.2,2.8,2.2,1.5,0.9,0.6,0.5,0.5,0.8,1.3
30 October 2022,22.6,12.4,13.4,22,27,32.2,23.4,3.8,24.8,2022,October,2022,10,November,30,1.9,2.4,2.6,2.7,2.5,2.1,1.7,1.5,1.4,1.5,1.7,2.2,2.8,3.2,3.2,3.0,2.6,2.0,1.4,0.9,0.7,0.6,0.7,0.9
31 October 2022,26.8,19.4,27.2,33.6,26.7,32.3,23.2,4.2,22.4,2022,October,2022,10,November,31,1.4,1.9,2.2,2.4,2.5,2.3,2.0,1.7,1.5,1.5,1.7,2.0,2.4,2.8,3.1,3.1,2.8,2.4,1.9,1.4,1.0,0.8,0.7,0.8
01 November 2022,-,-,-,-,-,-,-,-,-,2022,November,2022,11,November,1,1.0,1.4,1.8,2.1,2.2,2.3,2.2,2.0,1.8,1.7,1.7,1.8,2.1,2.4,2.7,2.9,2.9,2.7,2.4,2,1.6,1.2,1.0,0.9
02 November 2022,0,0,0,0,26.9,31.3,24.2,3.2,18.7,2022,November,2022,11,November,2,0.9,1.0,1.3,1.6,1.9,2.1,2.2,2.2,2.1,1.9,1.8,1.8,1.9,2.0,2.2,2.4,2.6,2.7,2.6,2.4,2.1,1.8,1.5,1.2
03 November 2022,0.2,0.2,0.2,0.2,26.9,32.4,24.1,2.8,12.2,2022,November,2022,11,November,3,1.0,0.9,1.0,1.1,1.4,1.8,2.1,2.3,2.3,2.3,2.1,1.9,1.8,1.8,1.8,1.9,2.1,2.3,2.5,2.6,2.6,2.4,2.1,1.7
04 November 2022,0.2,0.2,0.2,0.2,28.3,33.9,24.3,3.6,21.7,2022,November,2022,11,November,4,1.3,1.1,0.9,0.9,1.1,1.4,1.8,2.2,2.5,2.5,2.4,2.2,1.9,1.7,1.5,1.5,1.6,1.8,2.1,2.5,2.7,2.8,2.6,2.2
05 November 2022,39,21.2,26,28.2,24.7,27.2,22.2,3.1,30.6,2022,November,2022,11,November,5,1.8,1.4,1.0,0.8,0.8,1.1,1.5,2.0,2.5,2.7,2.7,2.6,2.2,1.8,1.4,1.2,1.1,1.3,1.6,2.1,2.6,2.9,2.9,2.7
06 November 2022,2.4,1.4,1.8,2.2,26.1,31.8,24,2.9,22.4,2022,November,2022,11,November,6,2.3,1.7,1.3,1.0,0.8,0.9,1.2,1.7,2.3,2.8,2.9,2.9,2.5,2.0,1.5,1.1,0.9,0.9,1.1,1.5,2.2,2.7,3.0,3.0
07 November 2022,67.6,53.2,66,67.2,26.1,33.1,23.1,3.6,20.2,2022,November,2022,11,November,7,2.7,2.2,1.6,1.2,0.9,0.9,1.0,1.5,2.1,2.7,3.0,3.0,2.8,2.3,1.7,1.2,0.9,0.7,0.8,1.1,1.6,2.3,2.8,3.0
08 November 2022,32.8,29.8,31.2,31.2,25.4,32.4,23.4,2.9,23.3,2022,November,2022,11,November,8,2.9,2.6,2.0,1.5,1.1,0.9,1.0,1.3,1.8,2.6,3.0,3.2,3.0,2.6,2.0,1.4,0.9,0.6,0.6,0.8,1.2,1.9,2.5,2.9
09 November 2022,0.2,0.2,0.2,0.2,25.9,28.3,24,3.9,18,2022,November,2022,11,November,9,3.0,2.8,2.4,1.8,1.4,1.1,1.0,1.2,1.6,2.3,2.9,3.2,3.1,2.9,2.3,1.7,1.1,0.7,0.5,0.6,0.8,1.4,2.1,2.7
10 November 2022,18.6,3.2,4.6,8.4,26.1,30.6,24.3,3,14.4,2022,November,2022,11,November,10,2.9,2.9,2.6,2.2,1.7,1.3,1.1,1.2,1.4,2.0,2.7,3.2,3.2,3.0,2.6,2.0,1.4,0.9,0.6,0.5,0.7,1.0,1.7,2.3
11 November 2022,0.2,0.2,0.2,0.2,26.8,32.1,24.2,3.1,18,2022,November,2022,11,November,11,2.7,2.9,2.8,2.4,1.9,1.5,1.3,1.2,1.4,1.7,2.4,3.0,3.2,3.1,2.8,2.3,1.7,1.1,0.7,0.6,0.6,0.8,1.3,1.9
12 November 2022,30.2,11.2,14.8,16.4,25.9,31.9,23.9,3.3,18.3,2022,November,2022,11,November,12,2.4,2.7,2.8,2.6,2.2,1.8,1.5,1.3,1.4,1.6,2.1,2.7,3.1,3.2,3.0,2.6,2.0,1.4,0.9,0.7,0.6,0.7,1.0,1.5
13 November 2022,0,0,0,0,26.5,30.6,23.8,2.9,18,2022,November,2022,11,November,13,2.1,2.4,2.6,2.6,2.3,2.0,1.6,1.4,1.4,1.6,1.9,2.4,2.9,3.1,3.1,2.8,2.3,1.7,1.2,0.9,0.7,0.7,0.9,1.3
14 November 2022,16.4,9,9.2,14.4,27.1,31.9,23.4,3.3,22.6,2022,November,2022,11,November,14,1.7,2.1,2.4,2.5,2.4,2.1,1.8,1.6,1.5,1.6,1.8,2.2,2.6,3.0,3.0,2.9,2.5,2.1,1.6,1.2,1.0,0.9,0.9,1.1
15 November 2022,13.2,4.6,9.2,12,27.1,31.6,23.1,5,35.2,2022,November,2022,11,November,15,1.5,1.8,2.1,2.3,2.3,2.2,1.9,1.7,1.6,1.6,1.7,2.0,2.4,2.7,2.9,2.9,2.7,2.3,1.9,1.5,1.3,1.1,1.0,1.1
16 November 2022,8.8,3.8,3.8,4.2,26.7,33.4,23.8,3.5,27,2022,November,2022,11,November,16,1.3,1.5,1.8,2.0,2.1,2.1,2.0,1.9,1.7,1.7,1.7,1.9,2.1,2.4,2.6,2.7,2.6,2.5,2.2,1.9,1.6,1.4,1.2,1.2
17 November 2022,0.2,0.2,0.2,0.2,27.1,31.8,24,2.8,16.9,2022,November,2022,11,November,17,1.2,1.3,1.5,1.7,1.9,2.1,2.1,2.0,1.9,1.9,1.8,1.8,1.9,2.1,2.3,2.4,2.5,2.4,2.3,2.1,1.9,1.7,1.5,1.4
18 November 2022,0,0,0,0,27.7,32.1,25,3.9,25.9,2022,November,2022,11,November,18,1.2,1.2,1.3,1.5,1.7,1.9,2.1,2.2,2.2,2.1,2.0,1.9,1.8,1.9,1.9,2.0,2.2,2.3,2.3,2.3,2.2,2.1,1.8,1.6
19 November 2022,6.8,2.4,3.8,4.8,25.5,27.1,23,3.7,28.9,2022,November,2022,11,November,19,1.4,1.3,1.2,1.3,1.5,1.8,2.1,2.3,2.4,2.4,2.2,2.0,1.8,1.7,1.6,1.7,1.8,1.9,2.1,2.3,2.4,2.4,2.2,1.9
20 November 2022,0,0,0,0,27.5,31.9,23.8,5.8,26.7,2022,November,2022,11,November,20,1.6,1.4,1.2,1.2,1.3,1.5,1.9,2.3,2.6,2.7,2.5,2.3,2.0,1.7,1.5,1.4,1.4,1.5,1.8,2.1,2.4,2.5,2.5,2.3
21 November 2022,6.2,5.6,6.2,6.2,27.8,33.4,22.6,5.4,33.9,2022,November,2022,11,November,21,1.9,1.6,1.3,1.2,1.2,1.3,1.7,2.2,2.7,2.9,2.8,2.6,2.2,1.8,1.4,1.1,1.1,1.1,1.4,1.8,2.3,2.6,2.7,2.6
22 November 2022,0.2,0.2,0.2,0.2,28.9,33.1,25.1,5.4,28.2,2022,November,2022,11,November,22,2.3,1.8,1.5,1.2,1.1,1.2,1.5,2.0,2.6,3.0,3.1,2.9,2.5,2.0,1.5,1.1,0.8,0.8,1.0,1.3,1.9,2.5,2.8,2.8
23 November 2022,3,2.4,2.8,2.8,26.4,30,23.4,3.7,35,2022,November,2022,11,November,23,2.6,2.2,1.8,1.4,1.2,1.2,1.3,1.7,2.3,2.9,3.3,3.2,2.9,2.3,1.7,1.1,0.8,0.6,0.7,0.9,1.4,2.1,2.6,2.9
24 November 2022,13.8,12.2,13.8,13.8,28.1,34.2,23.3,4,29.4,2022,November,2022,11,November,24,2.9,2.6,2.1,1.7,1.4,1.2,1.3,1.5,2.0,2.7,3.2,3.4,3.2,2.7,2.1,1.4,0.9,0.5,0.4,0.6,0.9,1.5,2.2,2.7
25 November 2022,16.6,14.8,26.8,29,27,31.2,23.5,3.8,24.4,2022,November,2022,11,November,25,2.9,2.9,2.6,2.1,1.6,1.4,1.3,1.4,1.7,2.3,3.0,3.4,3.4,3.1,2.5,1.8,1.1,0.7,0.4,0.4,0.6,1.0,1.7,2.4
26 November 2022,0,0,0,0,27,32.7,23.9,3.1,16.5,2022,November,2022,11,November,26,2.7,2.9,2.8,2.5,2.0,1.6,1.4,1.4,1.6,2.0,2.6,3.2,3.5,3.3,2.9,2.3,1.6,1.0,0.6,0.4,0.4,0.6,1.1,1.8
27 November 2022,2.2,1.2,1.6,2.2,25.5,29.1,23.6,2.4,22.4,2022,November,2022,11,November,27,2.4,2.7,2.8,2.7,2.3,1.9,1.6,1.4,1.5,1.7,2.2,2.8,3.3,3.4,3.2,2.8,2.1,1.5,0.9,0.6,0.4,0.5,0.7,1.2
28 November 2022,5.2,3.8,3.8,3.8,26.5,32.7,23.9,3,24.1,2022,November,2022,11,November,28,1.9,2.3,2.6,2.7,2.6,2.2,1.8,1.6,1.5,1.6,1.9,2.4,2.9,3.3,3.4,3.1,2.6,2.0,1.4,0.9,0.7,0.5,0.6,0.9
29 November 2022,3,1.4,2.8,2.8,26.5,32,24.2,3.3,20.9,2022,November,2022,11,November,29,1.3,1.9,2.3,2.5,2.6,2.4,2.1,1.8,1.6,1.6,1.7,2.0,2.4,2.9,3.2,3.2,3.0,2.5,2.0,1.4,1.0,0.8,0.7,0.7
30 November 2022,86.4,41.8,59.6,84.4,26.3,33.3,22.5,3.4,33.2,2022,November,2022,11,November,30,1.0,1.4,1.9,2.2,2.4,2.5,2.3,2.1,1.8,1.7,1.7,1.8,2.0,2.4,2.7,3.0,3.0,2.8,2.5,2,1.5,1.2,1.0,0.8
